Wall time,Step,Value
1587664245.899803,0,0.7876225709915161
1587664249.958549,1,0.962800145149231
1587664254.182857,2,0.9790328145027161
1587664258.208273,3,0.9834291338920593
1587664262.264979,4,0.9834291338920593
1587664266.324092,5,0.9864727854728699
1587664270.356413,6,0.9891782402992249
1587664274.457292,7,0.9895163774490356
1587664278.565414,8,0.9905309677124023
1587664282.647597,9,0.9908691048622131
1587664286.944543,10,0.9912073016166687
1587664291.351662,11,0.9949272871017456
1587664295.743514,12,0.9928982257843018
1587664299.9886,13,0.9952654838562012
1587664304.247814,14,0.9969563484191895
1587664308.467519,15,0.9949272871017456
1587664312.55676,16,0.9952654838562012
1587664316.618874,17,0.9949272871017456
1587664320.854391,18,0.9939127564430237
1587664325.053317,19,0.9942509531974792
